,,song,singer,urls
1975,45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds",https://www.youtube.com/watch?v=TviRQl5FvU0
1975,46,Feelings,Morris Albert,https://www.youtube.com/watch?v=sr_yaZQmRzA
1975,47,When Will I Be Loved,Linda Ronstadt,https://www.youtube.com/watch?v=MiUvPr3_6iE
1975,48,Chevy Van,Sammy Johns,https://www.youtube.com/watch?v=nsBPsPl9BZE
1975,49,"You're the First, the Last, My Everything",Barry White,https://www.youtube.com/watch?v=E7zmRvhFEYo
1975,50,Please Mr. Please,Olivia Newton-John,https://www.youtube.com/watch?v=Z6-INkIW0dw
1976,1,Silly Love Songs,Wings,https://www.youtube.com/watch?v=ap87QgZKTNw
1976,2,Don't Go Breaking My Heart,"Elton John,Kiki Dee,",https://www.youtube.com/watch?v=z0qW9P-uYfM
1976,3,Disco Lady,Johnnie Taylor,https://www.youtube.com/watch?v=qOPYn1l1pvw
1976,4,"December, 1963 (Oh, What a Night)",The Four Seasons,https://www.youtube.com/watch?v=zHmKP0uQNLg
1976,5,Play That Funky Music,Wild Cherry,https://www.youtube.com/watch?v=SFiv9M577a4
1976,6,Kiss and Say Goodbye,The Manhattans,https://www.youtube.com/watch?v=wtjro7_R3-4
1976,7,Love Machine,The Miracles,https://www.youtube.com/watch?v=WHcQ5wRZ9iU
1976,8,50 Ways to Leave Your Lover,Paul Simon,https://www.youtube.com/watch?v=ABXtWqmArUU
1976,9,Love Is Alive,Gary Wright,https://www.youtube.com/watch?v=KO75Ct234nc
1976,10,A Fifth of Beethoven,Walter Murphy,https://www.youtube.com/watch?v=0ouMaLRth-s
1976,11,Sara Smile,Hall & Oates,https://www.youtube.com/watch?v=dYEpFJhuu1E
1976,12,Afternoon Delight,Starland Vocal Band,https://www.youtube.com/watch?v=wu1UXCdyNo0
1976,13,I Write the Songs,Barry Manilow,https://www.youtube.com/watch?v=934QpLtK05s
1976,14,"Fly, Robin, Fly",Silver Convention,https://www.youtube.com/watch?v=oUPdG4DA42g
1976,15,Love Hangover,Diana Ross,https://www.youtube.com/watch?v=yOzO_4NS8NI
1976,16,Get Closer,Seals and Crofts,https://www.youtube.com/watch?v=6aSvzT7nuF4
1976,17,"More, More, More",Andrea True Connection,https://www.youtube.com/watch?v=73RYirgeLV4
1976,18,Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=P3nng0HOhC4
1976,19,Misty Blue,Dorothy Moore,https://www.youtube.com/watch?v=RMONGMDEerI
1976,20,Boogie Fever,The Sylvers,https://www.youtube.com/watch?v=YHKCHvpYq_8
1976,21,I'd Really Love to See You Tonight,England Dan & John Ford Coley,https://www.youtube.com/watch?v=P8RShs00yR0
1976,22,You Sexy Thing,Hot Chocolate,https://www.youtube.com/watch?v=E3fX2_bxEkg
1976,23,Love Hurts,Nazareth,https://www.youtube.com/watch?v=soDZBW-1P04
1976,24,Get Up and Boogie,Silver Convention,https://www.youtube.com/watch?v=hKGrfC1860o
1976,25,Take It to the Limit,Eagles,https://www.youtube.com/watch?v=tJkW0Clsvrk
1976,26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,https://www.youtube.com/watch?v=l3fZuW-aJsg
1976,27,Sweet Love,Commodores,https://www.youtube.com/watch?v=OPT3ZzxJlRM
1976,28,Right Back Where We Started From,Maxine Nightingale,https://www.youtube.com/watch?v=ckCwBAhz4oc
