year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
1992,43,The One,Elton John,https://www.youtube.com/watch?v=85B_REWeNcM,0,,,,
1993,43,I'd Die Without You,P.M. Dawn,https://www.youtube.com/watch?v=C_qWlPCEnGM,1,79.981,Db Major,I'd Die Without You,P.M. Dawn
1994,43,Come to My Window,Melissa Etheridge,https://www.youtube.com/watch?v=FaY5-LGYJKc,1,97.257,G Major,Come To My Window,Melissa Etheridge
1995,43,Shy Guy,Diana King,https://www.youtube.com/watch?v=szjaHbjhauk,1,94.074,B Minor,Shy Guy,Diana King
1996,43,Anything,3T,https://www.youtube.com/watch?v=EBoX-wYhs-U,1,131.977,Bb Minor,Anything,3T
1997,43,All Cried Out,"Allure,112,",https://www.youtube.com/watch?v=D2_A3Ia-69U,1,139.802,Db Major,All Cried Out (feat. 112) - Behind the scenes Video,"Allure, 112"
1998,43,I Get Lonely,"Janet,Blackstreet,",https://www.youtube.com/watch?v=_jMXyDB0Tso,0,,,,
1999,43,Sweet Lady,Tyrese,https://www.youtube.com/watch?v=gSlLFx2U4qo,1,66.024,A Minor,Sweet Lady,Tyrese
2000,43,Never Let You Go,Third Eye Blind,https://www.youtube.com/watch?v=gl-JGJp-_CM,0,,,,
2001,43,I'm Like a Bird,Nelly Furtado,https://www.youtube.com/watch?v=roPQ_M3yJTA,0,,,,
2002,43,Just Like a Pill,Pink,https://www.youtube.com/watch?v=JDKGWaCglRM,0,,,,
2003,43,Gossip Folks,"Missy Elliott,Ludacris,",https://www.youtube.com/watch?v=kYKI8tAELXY,0,,,,
2004,43,Jesus Walks,Kanye West,https://www.youtube.com/watch?v=MYF7H_fpc-g,1,87.312,Eb Minor,Jesus Walks,Kanye West
2005,43,Photograph,Nickelback,https://www.youtube.com/watch?v=BB0DU4DoPP4,1,145.958,Ab Major,Photograph - 2020 Remaster,Nickelback
2006,43,Where'd You Go,"Fort Minor,Holly Brook,Jonah Matranga,",https://www.youtube.com/watch?v=zQdglLeGQXM,1,179.999,Db Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),"Fort Minor, Holly Brook, Jonah Matranga"
2007,43,Make It Rain,"Fat Joe,Lil Wayne,",https://www.youtube.com/watch?v=vL5suzVSSKs,1,149.28,B Minor,Make It Rain,"Fat Joe, Lil Wayne"
2008,43,A Milli,Lil Wayne,https://www.youtube.com/watch?v=1Vf4mMCpNY0,1,151.486,Gb Minor,A Milli,Lil Wayne
2009,43,Good Girls Go Bad,"Cobra Starship,Leighton Meester,",https://www.youtube.com/watch?v=Ix5z1bRz4Sc,0,,,,
2010,43,Whatcha Say,Jason Derulo,https://www.youtube.com/watch?v=pBI3lc18k8Q,0,,,,
2011,43,Dirt Road Anthem,Jason Aldean,https://www.youtube.com/watch?v=Lb9q1ScC4cg,0,,,,
2012,43,Someone like You,Adele,https://www.youtube.com/watch?v=hLQl3WQQoQ0,0,,,,
2013,43,Same Love,"Macklemore & Ryan Lewis,Mary Lambert,",https://www.youtube.com/watch?v=UPHG5n-DBBw,0,,,,
2014,43,Show Me,"Kid Ink,Chris Brown,",https://www.youtube.com/watch?v=ty2FzIavjKs,1,98.098,G Major,Show Me (feat. Chris Brown),"Kid Ink, Chris Brown"
2015,43,Centuries,Fall Out Boy,https://www.youtube.com/watch?v=LBr7kECsjcQ,1,176.042,E Minor,Centuries,Fall Out Boy
2016,43,One Call Away,Charlie Puth,https://www.youtube.com/watch?v=BxuY9FET9Y4,1,91.024,Db Major,One Call Away,Charlie Puth
2017,43,Side to Side,"Ariana Grande,Nicki Minaj,",https://www.youtube.com/watch?v=AQ4MQ_uhBSs,1,159.182,Gb Minor,Side To Side,"Ariana Grande, Nicki Minaj"
2018,43,Walk It Talk It,"Migos,Drake,",https://www.youtube.com/watch?v=fGqdIPer-ms,1,145.914,D Major,Walk It Talk It,"Migos, Drake"
2019,43,Me!,"Taylor Swift,Brendon Urie,",https://www.youtube.com/watch?v=FuXNumBwDOM,0,,,,
2020,43,Death Bed,"Powfu,Beabadoobee,",https://www.youtube.com/watch?v=jJPMnTXl63E,1,144.026,Ab Minor,death bed (coffee for your head),"Powfu, beabadoobee"
2021,43,You Right,"Doja Cat,the Weeknd,",https://www.youtube.com/watch?v=JXgV1rXUoME,0,,,,
2022,43,In a Minute,Lil Baby,https://www.youtube.com/watch?v=4F_vcZ6KD9Q,1,78.502,D Major,In A Minute,Lil Baby
1973,44,Daddy's Home,Jermaine Jackson,https://www.youtube.com/watch?v=Fx_Y_0K3Hx4,1,81.329,E Minor,Daddy's Home,Jermaine Jackson
1974,44,Smokin' in the Boys Room,Brownsville Station,https://www.youtube.com/watch?v=nK-hzAyTgn0,1,127.897,Gb Minor,Smokin' in the Boys Room 2012,Brownsville Station
